% 1. Title: Iris Plants Database
% 
% 2. Sources:
%      (a) Creator: Elisa Venditti
%      (b) Donor: Elisa Venditti
%      (c) Date: May, 2022
% 
@RELATION buggy

@ATTRIBUTE size  NUMERIC
@ATTRIBUTE locTouched   NUMERIC
@ATTRIBUTE revisionNumber  NUMERIC
@ATTRIBUTE authorNumber   NUMERIC
@ATTRIBUTE locAdded   NUMERIC
@ATTRIBUTE maxLocAdded   NUMERIC
@ATTRIBUTE avgLocAdded   NUMERIC
@ATTRIBUTE chgSetSize   NUMERIC
@ATTRIBUTE maxChgSetSize   NUMERIC
@ATTRIBUTE avgChgSetSize   NUMERIC
@ATTRIBUTE class        {Yes, No}
@DATA
244.0,1744.0,20.0,2.0,1360.0,252.0,68.0,2240.0,281.0,112.0,No
1026.0,3684.0,56.0,3.0,2804.0,275.0,50.0,1876.0,171.0,33.0,Yes
92.0,276.0,12.0,3.0,160.0,29.0,13.0,1036.0,171.0,86.0,No
180.0,168.0,16.0,2.0,108.0,12.0,6.0,944.0,171.0,59.0,No
471.0,1232.0,36.0,3.0,584.0,64.0,16.0,1664.0,171.0,46.0,No
204.0,368.0,20.0,3.0,344.0,76.0,17.0,1384.0,171.0,69.0,Yes
551.0,620.0,28.0,3.0,340.0,42.0,12.0,1648.0,171.0,58.0,Yes
149.0,216.0,20.0,3.0,140.0,15.0,7.0,1596.0,171.0,79.0,Yes
157.0,80.0,12.0,3.0,52.0,12.0,4.0,1100.0,171.0,91.0,No
147.0,0.0,4.0,1.0,0.0,0.0,0.0,244.0,61.0,61.0,No
137.0,1100.0,20.0,3.0,572.0,113.0,28.0,1076.0,171.0,53.0,No
271.0,160.0,16.0,3.0,124.0,12.0,7.0,1064.0,171.0,66.0,Yes
205.0,60.0,16.0,2.0,32.0,4.0,2.0,1344.0,171.0,84.0,No
548.0,4488.0,36.0,3.0,2520.0,401.0,70.0,1884.0,171.0,52.0,No
728.0,4536.0,24.0,2.0,3724.0,714.0,155.0,892.0,97.0,37.0,Yes
50.0,24.0,8.0,2.0,12.0,3.0,1.0,928.0,171.0,116.0,No
185.0,180.0,20.0,3.0,92.0,16.0,4.0,1408.0,171.0,70.0,No
61.0,40.0,12.0,3.0,20.0,4.0,1.0,1000.0,171.0,83.0,No
157.0,384.0,32.0,3.0,172.0,26.0,5.0,1784.0,171.0,55.0,No
81.0,92.0,16.0,3.0,48.0,7.0,3.0,1456.0,171.0,91.0,No
84.0,396.0,12.0,2.0,200.0,46.0,16.0,1316.0,171.0,109.0,No
762.0,6460.0,48.0,3.0,3660.0,520.0,76.0,1952.0,171.0,40.0,Yes
248.0,520.0,28.0,3.0,360.0,32.0,12.0,1504.0,171.0,53.0,Yes
169.0,620.0,36.0,3.0,368.0,28.0,10.0,1816.0,171.0,50.0,Yes
196.0,296.0,24.0,3.0,184.0,17.0,7.0,1488.0,171.0,62.0,Yes
67.0,72.0,16.0,3.0,36.0,7.0,2.0,1016.0,171.0,63.0,No
165.0,244.0,16.0,3.0,176.0,30.0,11.0,1424.0,171.0,89.0,Yes
173.0,172.0,16.0,3.0,92.0,17.0,5.0,1424.0,171.0,89.0,Yes
103.0,604.0,24.0,2.0,508.0,101.0,21.0,1220.0,171.0,50.0,Yes
78.0,312.0,4.0,1.0,312.0,78.0,78.0,108.0,27.0,27.0,Yes
87.0,8.0,8.0,2.0,4.0,1.0,0.0,928.0,171.0,116.0,No
85.0,8.0,8.0,2.0,4.0,1.0,0.0,928.0,171.0,116.0,No
105.0,428.0,8.0,1.0,424.0,61.0,53.0,312.0,43.0,39.0,No
216.0,928.0,16.0,2.0,896.0,216.0,56.0,204.0,43.0,12.0,No
377.0,1668.0,16.0,2.0,1588.0,377.0,99.0,204.0,43.0,12.0,No
253.0,1028.0,8.0,1.0,1020.0,251.0,127.0,156.0,35.0,19.0,No
193.0,772.0,4.0,1.0,772.0,193.0,193.0,140.0,35.0,35.0,No
514.0,2056.0,4.0,1.0,2056.0,514.0,514.0,140.0,35.0,35.0,No
204.0,816.0,4.0,1.0,816.0,204.0,204.0,140.0,35.0,35.0,No
144.0,576.0,4.0,1.0,576.0,144.0,144.0,140.0,35.0,35.0,No
98.0,392.0,4.0,1.0,392.0,98.0,98.0,140.0,35.0,35.0,No
181.0,188.0,28.0,3.0,100.0,9.0,3.0,1616.0,171.0,57.0,Yes
154.0,380.0,16.0,3.0,348.0,71.0,21.0,1064.0,171.0,66.0,Yes
