% 1. Title: Iris Plants Database
% 
% 2. Sources:
%      (a) Creator: Elisa Venditti
%      (b) Donor: Elisa Venditti
%      (c) Date: May, 2022
% 
@RELATION buggy

@ATTRIBUTE size  NUMERIC
@ATTRIBUTE locTouched   NUMERIC
@ATTRIBUTE revisionNumber  NUMERIC
@ATTRIBUTE authorNumber   NUMERIC
@ATTRIBUTE locAdded   NUMERIC
@ATTRIBUTE maxLocAdded   NUMERIC
@ATTRIBUTE avgLocAdded   NUMERIC
@ATTRIBUTE chgSetSize   NUMERIC
@ATTRIBUTE maxChgSetSize   NUMERIC
@ATTRIBUTE avgChgSetSize   NUMERIC
@ATTRIBUTE class        {Yes, No}
@DATA
258.0,1548.0,6.0,0.0,1548.0,258.0,258.0,7968.0,1328.0,1328.0,No
101.0,606.0,6.0,0.0,606.0,101.0,101.0,7968.0,1328.0,1328.0,No
178.0,1068.0,6.0,0.0,1068.0,178.0,178.0,7968.0,1328.0,1328.0,No
32.0,192.0,6.0,0.0,192.0,32.0,32.0,7968.0,1328.0,1328.0,No
28.0,168.0,6.0,0.0,168.0,28.0,28.0,7968.0,1328.0,1328.0,No
45.0,270.0,6.0,0.0,270.0,45.0,45.0,7968.0,1328.0,1328.0,No
33.0,210.0,12.0,0.0,204.0,33.0,17.0,84.0,12.0,7.0,No
75.0,534.0,18.0,0.0,492.0,75.0,27.0,8040.0,1328.0,446.0,No
251.0,1986.0,18.0,0.0,1866.0,211.0,103.0,8676.0,1328.0,482.0,No
87.0,522.0,6.0,0.0,522.0,87.0,87.0,7968.0,1328.0,1328.0,No
82.0,492.0,6.0,0.0,492.0,82.0,82.0,7968.0,1328.0,1328.0,No
45.0,270.0,6.0,0.0,270.0,45.0,45.0,7968.0,1328.0,1328.0,No
143.0,858.0,6.0,0.0,858.0,143.0,143.0,7968.0,1328.0,1328.0,No
98.0,588.0,6.0,0.0,588.0,98.0,98.0,7968.0,1328.0,1328.0,No
46.0,276.0,6.0,0.0,276.0,46.0,46.0,7968.0,1328.0,1328.0,No
32.0,192.0,6.0,0.0,192.0,32.0,32.0,7968.0,1328.0,1328.0,No
102.0,612.0,6.0,0.0,612.0,102.0,102.0,7968.0,1328.0,1328.0,No
112.0,672.0,6.0,0.0,672.0,112.0,112.0,7968.0,1328.0,1328.0,No
85.0,510.0,6.0,0.0,510.0,85.0,85.0,7968.0,1328.0,1328.0,No
57.0,342.0,6.0,0.0,342.0,57.0,57.0,7968.0,1328.0,1328.0,No
210.0,1260.0,6.0,0.0,1260.0,210.0,210.0,7968.0,1328.0,1328.0,No
41.0,246.0,6.0,0.0,246.0,41.0,41.0,7968.0,1328.0,1328.0,No
34.0,204.0,6.0,0.0,204.0,34.0,34.0,7968.0,1328.0,1328.0,No
32.0,288.0,18.0,0.0,252.0,28.0,14.0,8712.0,1328.0,484.0,No
140.0,840.0,6.0,0.0,840.0,140.0,140.0,7968.0,1328.0,1328.0,No
85.0,510.0,6.0,0.0,510.0,85.0,85.0,7968.0,1328.0,1328.0,No
49.0,294.0,6.0,0.0,294.0,49.0,49.0,7968.0,1328.0,1328.0,No
111.0,666.0,6.0,0.0,666.0,111.0,111.0,7968.0,1328.0,1328.0,No
46.0,276.0,6.0,0.0,276.0,46.0,46.0,7968.0,1328.0,1328.0,No
91.0,546.0,6.0,0.0,546.0,91.0,91.0,7968.0,1328.0,1328.0,No
151.0,906.0,6.0,0.0,906.0,151.0,151.0,7968.0,1328.0,1328.0,No
73.0,438.0,6.0,0.0,438.0,73.0,73.0,7968.0,1328.0,1328.0,No
44.0,264.0,6.0,0.0,264.0,44.0,44.0,7968.0,1328.0,1328.0,No
